"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 23 13:22:44 EEST 2023","Sun Jul 23 13:22:44 EEST 2023","9","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","7","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","8","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:40 EEST 2023","Sun Jul 23 13:22:42 EEST 2023","1529","All tests","Tests smoke","ui.tests.LoginTests","ui.tests.LoginTests","loginWithNotValidUsers","loginWithNotValidUsers",""
"passed","Sun Jul 23 13:22:44 EEST 2023","Sun Jul 23 13:22:44 EEST 2023","8","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:48 EEST 2023","Sun Jul 23 13:22:50 EEST 2023","1990","All tests","Tests smoke","ui.tests.TaskTest","ui.tests.TaskTest","closeTask","closeTask",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","7","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:44 EEST 2023","Sun Jul 23 13:22:44 EEST 2023","8","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","7","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:46 EEST 2023","Sun Jul 23 13:22:46 EEST 2023","6","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","5","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","6","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","6","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","6","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","7","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:46 EEST 2023","Sun Jul 23 13:22:46 EEST 2023","10","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","7","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:46 EEST 2023","Sun Jul 23 13:22:48 EEST 2023","2025","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","createNewProject","createNewProject",""
"passed","Sun Jul 23 13:22:44 EEST 2023","Sun Jul 23 13:22:44 EEST 2023","7","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:53 EEST 2023","Sun Jul 23 13:22:55 EEST 2023","1847","All tests","Tests smoke","ui.tests.TaskTest","ui.tests.TaskTest","createTask","createTask",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","7","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:44 EEST 2023","Sun Jul 23 13:22:44 EEST 2023","7","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
"passed","Sun Jul 23 13:22:45 EEST 2023","Sun Jul 23 13:22:45 EEST 2023","8","All tests","Tests smoke","ui.tests.ProjectTest","ui.tests.ProjectTest","checkListProjectsFromDB","checkListProjectsFromDB",""
